student_id,age,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty,exam_score,outlier_flag
99,22,1,6,0.99,57.4,1,8.3,2,3,2,2,40.0,1
100,18,2,4,5.56,84.1,1,8.8,2,2,2,0,78.7,1
101,23,0,1,4.96,68.0,1,9.8,1,4,2,0,61.4,1
102,18,1,0,5.74,73.7,0,4.2,2,3,0,2,69.6,1
103,23,0,6,5.25,61.7,1,9.9,2,0,1,2,71.9,1
104,17,1,4,7.0,80.6,1,9.6,2,1,2,2,88.5,1
105,23,1,1,7.02,46.2,1,4.9,1,3,1,2,63.8,1
106,23,2,5,2.46,70.4,1,5.8,2,2,1,1,37.1,1
107,23,2,5,1.46,93.7,1,8.0,2,2,0,1,51.1,1
108,22,0,2,7.41,54.1,1,9.3,0,0,1,1,91.3,1
109,20,2,1,5.7,92.1,1,7.3,2,0,0,2,95.2,1
110,22,2,5,7.77,93.1,1,7.1,2,1,1,0,74.3,1
111,19,0,0,3.98,53.8,0,4.7,1,2,0,0,64.0,1
112,23,1,2,7.7,44.8,1,8.3,0,2,0,2,79.6,1
113,21,0,4,0.98,85.9,1,7.0,1,0,1,0,51.8,1
114,20,1,6,4.72,97.5,1,4.6,1,4,1,2,74.4,1
115,21,2,3,3.97,55.3,1,9.5,1,1,0,0,69.9,1
116,21,0,6,0.08,94.8,1,5.4,2,0,0,2,26.5,1
117,17,2,2,1.54,52.5,1,7.2,0,2,2,2,45.5,1
118,18,2,4,1.23,61.6,1,9.0,2,2,2,0,57.0,1
119,18,0,4,0.49,93.2,1,8.0,1,4,2,0,52.8,1
120,17,2,6,7.59,58.2,1,5.4,0,2,2,2,93.1,1
121,20,2,3,7.72,85.3,1,9.9,1,1,2,2,100.0,1
122,22,2,5,7.13,48.8,1,4.6,2,4,2,2,81.6,1
123,22,1,1,7.91,62.7,1,8.8,2,2,0,2,100.0,1
124,20,0,2,6.65,96.4,1,6.8,0,2,1,2,100.0,1
125,23,2,5,7.46,53.6,1,4.4,2,2,2,2,76.9,1
126,21,2,2,1.58,82.1,1,5.5,1,1,1,1,51.9,1
127,17,0,6,2.06,95.2,1,4.5,1,0,1,2,51.0,1
128,23,1,2,6.9,87.1,1,5.2,0,3,0,1,71.1,1
129,21,1,4,3.84,96.9,1,9.3,1,3,1,2,86.9,1
130,22,0,3,5.74,96.6,1,5.8,2,4,0,2,67.4,1
131,21,0,4,4.5,46.8,1,7.7,1,2,1,2,76.3,1
132,21,2,4,2.45,76.1,1,5.2,2,4,0,0,40.7,1
133,17,1,3,2.28,65.6,1,5.5,2,4,2,2,19.599,1
134,21,0,3,5.99,81.0,1,6.1,1,1,2,1,71.9,1
135,23,1,3,4.26,84.6,1,9.7,0,3,2,2,56.6,1
136,19,2,4,2.88,54.7,1,5.3,0,0,1,2,64.9,1
137,21,1,4,4.94,88.0,1,7.9,2,2,1,0,65.6,1
138,17,1,3,3.36,64.6,0,6.2,2,2,2,2,49.0,1
139,19,1,0,3.8,79.4,1,4.9,1,4,1,0,53.7,1
140,20,1,2,5.42,65.7,1,7.3,1,2,1,2,72.2,1
141,24,0,5,3.66,60.8,0,6.2,1,3,0,0,65.4,1
142,18,0,1,7.6,81.6,1,9.2,1,4,1,2,83.3,1
143,19,0,3,3.88,72.5,0,9.6,2,4,2,0,41.8,1
144,20,2,6,7.69,91.2,1,7.4,0,4,1,1,69.4,1
145,24,0,5,6.78,87.2,1,5.8,0,3,0,2,75.4,1
146,23,1,0,7.13,92.1,1,7.2,2,2,1,1,66.9,1
147,17,0,3,6.11,85.9,0,9.3,1,1,0,0,100.0,-1
148,18,2,0,4.84,95.0,1,8.0,0,3,2,0,70.7,1
149,23,0,4,4.26,49.4,1,4.5,0,1,2,0,34.3,1
150,17,1,1,4.41,78.4,1,4.4,1,0,0,1,83.7,1
151,23,2,6,1.61,44.9,1,4.9,2,2,0,0,29.2,1
152,19,2,6,1.72,70.0,1,7.4,1,4,2,0,60.9,1
153,24,1,0,0.27,91.7,1,5.0,0,1,2,2,36.3,1
154,19,0,1,5.96,83.5,1,5.5,0,4,2,2,69.1,1
155,20,0,3,1.0,75.0,1,7.2,0,1,1,2,63.5,1
156,22,1,4,4.66,81.6,1,7.4,0,0,0,0,82.6,1
157,18,1,4,1.1,50.4,1,8.9,0,3,2,1,38.8,1
158,21,2,2,0.53,95.8,0,6.6,0,2,0,0,56.9,1
159,21,0,4,4.27,52.7,1,8.7,2,4,2,2,45.7,1
160,23,2,2,6.98,50.0,1,4.5,0,3,0,2,92.0,1
161,24,0,0,2.85,48.4,1,7.3,2,2,1,2,32.1,1
162,22,0,5,7.35,96.2,1,6.6,0,0,2,1,100.0,1
163,20,2,6,0.08,67.7,1,9.5,1,3,2,0,40.8,1
164,20,1,4,3.73,72.0,1,8.3,1,2,0,1,69.5,1
165,20,0,1,1.17,62.7,1,8.1,2,2,0,2,39.0,1
166,23,1,4,2.53,41.6,0,9.4,0,4,2,0,23.5,-1
167,19,1,2,0.19,44.0,1,5.5,2,3,1,0,19.599,1
168,18,2,1,0.28,40.9,0,8.5,1,4,0,0,46.0,-1
169,19,1,2,5.7,72.3,1,9.2,2,4,2,2,67.9,1
170,17,0,6,5.24,51.6,1,9.9,2,1,0,2,54.0,1
171,17,0,0,1.67,64.1,1,6.6,1,4,2,2,53.5,1
172,17,2,3,7.21,67.6,1,8.0,0,4,2,0,77.8,1
173,23,0,5,5.5,72.0,1,5.1,2,0,2,2,68.1,1
174,22,2,6,2.69,93.6,0,7.4,2,0,2,2,49.0,1
175,22,2,6,3.26,42.6,1,6.7,0,0,0,2,52.2,1
176,20,2,1,2.34,69.7,1,4.8,1,1,0,2,55.4,1
177,22,2,0,6.64,47.9,1,9.5,2,3,0,0,69.4,1
178,18,1,0,3.95,95.6,1,9.4,1,4,1,2,80.7,1
179,24,1,5,1.08,95.0,1,9.8,2,1,2,2,32.0,1
180,21,0,0,1.61,48.4,1,5.1,1,4,0,2,34.3,1
181,24,0,1,2.37,47.0,1,4.1,0,1,2,2,35.4,1
182,18,2,5,3.23,46.6,1,8.5,1,4,2,0,57.8,1
183,20,2,3,4.74,45.9,1,5.6,0,3,1,0,50.4,1
184,22,1,5,7.71,49.5,1,7.8,0,0,0,2,87.2,1
185,20,1,0,2.1,49.3,1,7.2,0,0,1,1,56.6,1
186,20,1,3,2.63,49.8,1,7.5,1,3,0,2,91.6,1
187,18,0,2,0.19,48.9,1,7.0,2,1,2,0,23.7,1
188,20,0,2,2.98,62.7,1,4.1,0,4,1,1,56.5,1
189,18,1,2,5.4,55.2,1,5.6,0,1,1,0,76.1,1
190,19,2,1,7.7,65.0,1,9.5,2,3,2,0,73.1,1
191,22,1,0,5.92,93.6,1,6.5,2,4,2,2,74.8,1
192,22,0,2,0.94,61.1,1,5.9,1,4,2,0,21.4,1
193,21,2,1,7.12,57.2,1,4.1,2,2,0,2,69.5,1
194,19,1,5,6.71,94.9,1,6.2,2,0,1,0,90.0,1
195,24,2,5,1.51,59.3,1,5.3,1,2,2,0,44.3,1
196,17,2,0,7.47,47.3,1,7.1,2,1,1,2,66.6,1
197,19,2,6,5.71,77.1,1,8.2,0,3,0,0,83.5,1
198,17,1,2,6.26,56.9,0,4.4,0,4,0,0,70.9,1
199,19,0,2,3.67,71.2,1,8.3,1,2,1,0,67.9,1
200,24,1,0,1.61,86.1,1,4.1,2,3,2,1,44.7,1
201,19,0,1,6.39,73.9,1,8.1,2,2,0,2,84.0,1
202,24,2,2,3.82,88.5,1,4.9,0,0,2,0,73.0,1
203,20,2,5,7.74,60.7,0,6.1,2,4,2,2,65.0,1
204,22,2,6,1.23,50.1,1,4.7,1,0,1,2,31.4,1
205,20,0,1,2.84,63.7,1,7.3,0,1,1,2,48.5,1
206,19,2,0,5.88,64.7,1,8.8,0,0,0,2,78.6,1
207,23,2,5,4.58,83.0,1,7.4,0,2,0,2,90.9,1
208,24,2,6,3.47,81.2,0,9.4,2,1,1,2,39.6,-1
209,19,2,0,5.61,58.6,1,4.2,1,0,1,0,66.5,1
210,23,0,4,5.87,95.8,1,6.1,0,1,1,1,83.1,1
211,19,1,2,4.62,56.5,1,6.3,0,3,1,2,40.2,1
212,22,1,3,2.55,99.4,1,5.9,0,0,1,0,57.6,1
213,23,2,6,4.95,42.0,1,6.5,0,3,2,2,51.5,1
214,20,1,3,4.36,80.4,0,7.4,1,4,0,0,92.2,1
215,22,1,4,6.38,77.2,1,5.2,2,2,0,2,72.7,1
216,19,2,4,5.23,75.1,1,5.2,2,2,2,2,69.9,1
217,17,0,4,3.97,86.7,1,4.9,1,1,1,2,62.6,1
218,17,2,4,0.15,75.5,1,5.8,0,4,1,0,27.7,1
219,20,1,6,1.34,76.6,1,7.9,0,4,1,1,55.9,1
220,24,0,2,2.69,92.6,1,7.1,0,2,0,2,57.2,1
221,18,0,6,4.81,51.2,1,5.7,1,2,0,0,69.9,1
222,20,0,6,6.34,71.9,1,9.8,0,2,2,1,84.6,1
223,22,0,6,7.68,82.7,1,7.8,0,0,1,2,100.0,1
224,18,1,0,4.8,58.5,1,5.6,1,2,1,2,61.6,1
225,22,2,4,5.83,53.2,1,4.3,0,0,0,2,59.6,1
226,19,1,0,4.97,47.7,1,5.4,2,2,1,1,37.9,1
227,23,0,5,3.44,55.8,1,6.9,2,2,2,2,40.8,1
228,21,2,0,4.88,80.0,1,5.2,2,3,0,1,73.6,1
229,21,0,0,3.21,76.9,1,5.9,2,1,0,1,52.1,1
230,18,1,4,3.63,50.3,1,9.9,0,1,0,0,65.9,1
231,20,1,2,7.29,69.5,1,9.6,1,0,0,1,100.0,1
232,23,0,0,4.51,52.8,1,7.1,1,1,2,0,70.6,1
233,17,0,1,0.8,96.2,1,9.0,2,1,0,2,61.6,1
234,23,2,0,4.19,83.4,0,5.7,0,2,0,1,74.8,1
235,20,1,3,7.63,50.4,0,8.5,1,3,1,2,68.6,1
236,22,0,2,0.8,57.4,1,9.4,0,1,1,2,57.4,1
237,22,1,6,7.77,91.2,1,9.0,0,0,2,0,95.5,1
238,20,0,0,7.9,73.4,1,7.8,2,4,2,2,89.0,1
239,19,0,0,4.49,61.4,1,9.0,2,0,1,0,72.6,1
240,22,1,1,2.66,75.9,1,4.1,1,4,0,1,44.3,1
241,18,1,6,0.08,63.4,0,6.3,2,0,1,0,19.599,-1
242,21,1,5,0.12,94.7,1,8.6,0,2,0,2,61.2,1
243,17,0,3,3.1,92.4,1,6.4,2,2,0,0,54.6,1
244,22,1,0,6.26,49.6,1,5.1,1,0,0,2,95.6,1
245,22,1,3,7.54,80.6,1,8.6,1,2,2,2,90.6,1
246,17,1,6,1.24,90.3,1,7.7,0,2,2,0,67.1,1
247,23,1,1,3.9,52.7,1,7.1,0,2,2,2,68.4,1
248,20,1,4,4.01,92.3,0,6.0,1,0,2,1,83.4,1
249,23,0,6,3.04,65.2,0,4.6,0,0,1,2,53.2,1
250,17,1,5,4.32,58.5,1,9.2,0,0,1,0,71.4,1
251,18,1,6,7.4,99.0,1,5.2,1,4,1,2,86.2,1
252,20,1,6,3.51,81.3,0,7.8,2,1,2,1,55.4,1
253,18,1,2,1.1,57.4,0,5.8,2,1,2,0,19.8,-1
254,19,1,1,5.32,71.8,1,5.4,0,1,2,2,75.7,1
255,22,1,1,0.25,78.6,1,6.7,0,3,1,0,31.9,1
256,18,2,3,7.52,82.7,0,8.4,0,1,1,0,90.7,-1
257,22,2,0,7.52,52.6,1,5.4,0,3,0,1,81.7,1
258,17,1,2,0.74,77.0,1,4.6,1,1,1,2,27.6,1
259,18,1,3,4.41,90.8,1,6.9,0,1,1,1,70.6,1
260,21,0,2,6.38,88.2,1,7.3,1,4,2,0,92.1,1
261,23,2,0,3.72,57.7,1,7.9,0,0,2,0,64.6,1
262,18,2,0,3.83,98.2,1,6.7,1,4,0,0,80.7,1
263,19,2,6,7.76,40.8,1,6.3,2,3,2,1,69.8,1
264,24,1,4,1.84,86.7,0,4.9,2,0,0,2,74.9,-1
265,24,0,4,4.21,59.0,1,5.8,2,4,2,2,50.5,1
266,21,0,5,0.92,96.5,1,5.5,1,3,0,0,67.6,1
267,20,0,1,2.42,91.7,1,4.8,1,2,0,2,53.2,1
268,19,2,1,6.81,92.9,1,9.7,0,4,2,0,85.2,1
269,21,1,5,5.73,55.1,1,5.1,1,1,1,0,70.2,1
270,21,0,5,4.9,87.8,1,7.4,2,1,2,0,65.9,1
271,19,1,2,0.91,60.0,1,6.4,0,1,0,2,47.4,1
272,17,1,1,6.81,66.8,1,7.3,0,1,2,1,82.8,1
273,18,1,1,2.38,94.3,1,7.5,2,2,0,0,67.7,1
274,24,2,2,4.28,83.2,0,7.1,2,0,0,2,65.8,1
275,20,0,4,1.87,78.4,1,6.0,0,1,2,2,54.3,1
276,20,2,2,4.17,47.7,1,6.0,1,3,2,2,49.9,1
277,20,2,5,4.5,72.3,1,5.0,1,2,1,2,62.2,1
278,23,0,4,2.72,47.4,1,6.5,1,3,2,1,66.1,1
279,17,2,5,4.05,44.5,1,6.2,1,3,1,0,60.2,1
280,17,1,3,3.25,96.8,1,9.9,1,0,1,0,80.1,1
281,19,2,6,5.58,75.5,1,4.6,0,0,2,2,76.3,1
282,20,1,1,4.35,40.6,1,7.5,0,1,2,2,62.0,1
283,22,0,3,7.02,68.1,0,9.9,1,4,1,2,93.8,-1
284,20,2,2,0.4,57.2,1,9.6,0,2,1,0,42.3,1
285,20,2,5,0.21,49.2,0,8.2,0,0,0,2,56.4,1
286,24,1,3,1.51,89.1,0,6.4,1,1,1,2,52.6,1
287,18,2,1,0.95,49.2,1,8.4,0,1,2,1,43.2,1
288,21,1,5,4.21,50.0,1,9.6,2,0,0,1,60.5,1
289,21,2,6,1.6,54.0,1,7.3,2,0,1,1,41.0,1
290,20,0,2,0.13,82.7,1,6.1,2,3,0,1,22.1,1
291,23,1,5,2.26,51.4,1,4.1,0,3,1,2,28.3,1
292,19,2,5,4.07,59.3,1,7.0,1,3,1,2,52.4,1
293,24,2,0,5.71,94.1,1,4.6,1,1,0,2,84.3,1
294,19,1,4,3.51,73.9,1,5.9,2,0,0,2,60.8,1
295,21,1,5,7.7,50.4,1,7.7,2,4,0,0,55.2,1
296,21,1,3,1.6,91.6,1,5.7,0,1,1,1,59.7,1
297,23,0,4,4.11,70.7,1,5.3,1,1,0,0,69.1,1
298,20,0,2,2.03,90.1,0,7.5,2,2,1,2,57.0,1
299,19,2,6,6.45,44.7,1,4.4,2,1,0,0,67.9,1
300,17,2,6,1.5,49.7,1,9.6,0,1,0,0,38.3,1
301,19,1,1,7.69,45.5,1,9.9,2,1,1,2,67.2,1
302,23,0,3,5.73,68.9,0,9.9,0,3,1,0,72.9,1
303,17,2,1,4.45,63.2,1,4.1,1,0,2,1,74.2,1
304,24,2,0,4.26,65.0,1,4.1,1,0,0,2,84.4,1
305,21,1,1,2.9,62.0,1,4.6,1,2,1,2,64.7,1
306,18,1,6,0.17,65.4,1,9.5,0,4,1,2,49.1,1
307,19,1,4,7.32,62.9,0,9.2,1,1,2,2,85.5,1
308,21,0,5,6.36,49.6,1,4.1,0,1,0,0,50.7,1
309,19,0,5,1.08,74.1,1,4.4,1,1,0,1,59.1,1
310,17,0,5,0.98,92.2,1,5.8,2,1,0,1,51.3,1
311,22,1,1,2.46,99.4,1,5.7,1,3,2,0,53.6,1
312,22,0,5,6.11,47.0,1,4.1,0,4,2,2,50.3,1
313,17,1,5,4.03,64.7,1,4.5,0,4,1,2,45.7,1
314,19,0,2,5.23,54.5,1,8.1,0,3,0,0,66.1,1
315,18,1,2,0.08,74.0,1,7.5,1,1,2,0,36.6,1
316,22,2,5,7.39,61.6,1,6.1,0,2,1,0,83.3,1
317,22,0,0,1.33,92.7,1,5.5,0,3,2,0,55.9,1
318,22,1,0,2.55,96.1,1,6.8,1,3,0,0,70.6,1
319,24,2,0,7.58,59.5,0,7.8,1,0,1,2,78.3,1
320,23,2,6,5.86,61.4,1,5.8,1,3,1,2,70.8,1
321,19,1,0,4.09,72.1,1,4.8,0,3,0,2,59.0,1
322,17,1,0,6.9,78.1,1,9.5,0,0,1,1,70.1,1
323,21,1,0,0.49,85.1,1,4.7,0,2,1,2,46.2,1
324,24,0,2,0.61,46.0,1,9.0,1,1,2,2,31.4,1
325,24,0,2,1.24,43.1,1,7.4,1,3,2,0,34.8,1
326,18,0,0,2.12,80.7,1,6.8,1,4,0,0,57.7,1
327,18,0,2,5.67,68.7,1,5.5,0,4,0,0,53.6,1
328,17,0,5,4.26,80.4,1,8.2,1,3,1,2,72.2,1
329,18,1,0,3.41,58.1,1,6.9,0,4,1,0,47.4,1
330,21,1,3,6.26,50.3,1,4.6,1,4,0,1,72.4,1
331,21,2,0,2.54,46.7,1,8.9,0,0,2,2,48.3,1
332,19,2,5,0.68,87.2,1,8.1,1,4,1,2,50.6,1
333,19,2,0,3.17,64.2,1,8.6,0,2,0,2,66.7,1
334,23,2,2,6.13,45.0,1,5.4,2,3,0,2,60.4,1
335,20,0,3,3.79,54.8,1,5.9,0,1,2,0,58.2,1
336,23,2,1,7.82,91.7,0,6.0,2,3,0,0,87.2,1
337,24,2,4,6.85,68.9,1,5.0,0,2,0,2,65.4,1
338,19,2,3,6.33,91.2,0,9.3,1,3,2,0,84.8,1
339,18,1,3,6.19,96.7,1,6.2,1,1,1,2,79.1,1
340,24,1,0,4.65,44.0,1,5.8,0,1,2,2,57.3,1
341,22,0,4,7.21,96.6,1,6.9,1,2,1,0,88.2,1
342,19,0,4,4.72,62.3,1,9.7,2,0,2,0,66.7,1
343,21,2,6,2.98,81.9,0,6.2,1,1,2,0,67.6,1
344,21,1,6,1.57,64.2,1,9.6,0,4,2,1,53.3,1
345,24,2,2,6.5,76.9,1,9.6,1,3,1,0,86.3,1
346,19,2,4,2.97,80.2,1,5.9,2,3,0,0,57.2,1
347,24,2,2,6.33,48.0,1,7.6,2,0,2,2,74.5,1
348,24,1,0,7.86,65.9,1,7.9,1,0,0,2,100.0,1
349,18,1,5,3.19,52.4,1,5.7,0,0,1,2,55.9,1
350,18,1,3,2.73,47.2,1,9.9,2,2,0,2,49.7,1
351,21,2,5,1.36,75.5,1,7.6,1,4,0,0,53.3,1
352,17,2,6,3.8,80.8,1,8.3,2,3,1,2,69.6,1
353,19,0,6,5.23,55.5,1,8.1,1,0,1,2,66.8,1
354,20,1,4,2.5,40.6,0,5.3,2,1,0,2,37.8,1
355,24,0,4,3.89,98.2,1,7.6,2,0,2,1,80.2,1
356,24,2,5,4.3,68.5,1,9.2,1,4,2,2,77.2,1
357,18,0,1,2.2,79.1,0,8.6,0,0,1,2,42.5,1
358,24,1,0,0.19,44.5,0,6.7,2,0,0,1,38.9,-1
359,17,0,0,1.72,77.2,1,7.3,1,1,2,0,43.0,1
360,22,0,5,6.43,85.8,1,7.8,2,3,0,2,100.0,1
361,23,0,0,2.22,42.8,1,6.2,0,3,0,2,39.8,1
362,24,2,2,0.11,71.4,1,6.0,2,1,2,0,28.0,1
363,18,1,5,3.4,48.5,1,6.7,2,3,0,0,68.4,1
364,24,0,5,5.46,48.8,1,9.9,1,2,1,1,67.0,1
365,17,2,4,6.02,76.9,1,8.2,0,0,0,2,81.0,1
366,21,1,6,3.31,77.2,1,4.8,0,0,2,2,78.0,1
367,20,1,5,4.57,73.2,1,4.7,0,1,2,2,86.2,1
368,19,1,6,5.96,70.6,1,4.8,1,2,1,2,73.9,1
369,17,0,1,7.11,68.2,1,9.3,2,4,1,2,71.8,1
370,23,1,2,5.12,68.9,1,4.9,2,2,0,2,54.5,1
371,19,2,0,5.53,60.1,1,6.7,0,2,1,0,80.3,1
372,22,1,5,0.79,55.4,0,7.9,2,0,2,2,37.6,1
373,20,2,6,3.36,55.9,1,8.9,0,4,2,0,45.6,1
374,19,0,2,7.11,94.5,0,5.9,2,2,2,0,96.1,-1
375,24,2,5,1.29,56.0,1,5.4,2,4,0,2,19.7,1
376,17,0,3,2.48,62.5,1,4.6,2,0,1,0,50.6,1
377,22,0,5,5.42,70.2,1,4.5,2,0,2,2,47.8,1
378,22,1,4,7.22,84.6,1,4.9,1,3,0,2,97.5,1
379,20,0,2,0.47,86.6,1,8.1,2,3,0,2,45.0,1
380,19,1,3,6.96,83.3,1,4.4,0,0,2,0,96.4,1
381,17,1,2,1.76,58.2,1,7.9,2,1,1,1,22.9,1
382,24,2,0,6.89,49.8,0,9.2,0,2,2,2,76.4,1
383,24,2,5,7.11,89.0,1,7.1,0,2,2,0,79.6,1
384,18,1,4,6.2,92.5,1,9.6,2,3,0,2,71.0,1
